set,id,gz,score,level,yong,xi,ji,pattern,riskType,severity,parties,why,mitigations,triggerHint,evidence,partyEvidence
22基线,#3,戊午 丁巳 丙午 甲午,100,极强,水,水、土、金,木、火,建禄格·破格,枭夺食,潜在,时柱甲（枭）克 年柱戊（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印甲进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,时柱甲枭:exposedUnrooted；年柱戊食:exposedRooted
22基线,#5,己酉 癸酉 庚申 甲申,100,极强,火,火、水、木,土、金,羊刃格·破格,财破印,潜在,时柱甲（财）克 年柱己（印）,财干元素克印干（全 pair 枚举 1 对）,财星甲被己合绊(d3，弱),若财星甲进一步增强而印星己根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,时柱甲财:exposedUnrooted；年柱己印:exposedUnrooted
22基线,#8,庚申 壬午 甲午 丙寅,28,极弱,水,水,火、土、金、木,伤官配印格·破格,枭夺食,潜在,月柱壬（枭）克 时柱丙（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印壬进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,月柱壬枭:exposedUnrooted；时柱丙食:exposedRooted
22基线,#8,庚申 壬午 甲午 丙寅,28,极弱,水,水,火、土、金、木,伤官配印格·破格,关键用神/格局节点受冲,潜在,年柱申（透干七杀坐支之根） ↔ 时柱寅,六冲申寅命中年柱申（透干七杀坐支之根），位距3,无,若时柱寅（甲木·比肩）得运助增，对年柱申（透干七杀坐支之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（庚金·七杀）:exposedRooted；时柱hour（甲木·比肩）:exposedRooted
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木、金、水,火、土,杀印相生格·成格,伤官见官,潜在,时柱庚伤官 ↔ 年柱甲正官,天干同透伤官与正官，全 pair 枚举 1 对（贴身 0 对）,正官甲被己合绊(d2，中)；伤官与正官远隔（不直接对贴）,若伤官庚（金）得根行旺或正官甲失其制化，伤官见官之势可能显化；当前正官甲被己合绊(d2，中)、全对远隔。,v2：全 pair 枚举；合绊按合绊对柱位距离 1强/2中/3弱；severity=任一 pair 贴身∧无强合绊→存在，否则潜在,时柱庚伤官:exposedUnrooted；年柱甲正官:exposedRooted
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木、金、水,火、土,杀印相生格·成格,关键用神/格局节点受冲,潜在,年柱子 ↔ 时柱午（印星之根）,六冲子午命中；时柱午（印星之根），位距3,无,若年柱子（癸水·偏财）得运助增，对时柱午（印星之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,年柱year（癸水·偏财）:hiddenMainRoot；时柱hour（丁火·偏印）:exposedRooted
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木、金、水,火、土,杀印相生格·成格,财印冲,潜在,年柱子（癸水） ↔ 时柱午（丁火）,冲对主气一财一印，位距3,无,若财方年柱子（癸水·偏财）进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,v2：主气口径不变（中余气不独立触发）；补 partyEvidence,年柱子（癸水·偏财）:hiddenMainRoot；时柱午（丁火·偏印）:exposedRooted
22基线,A1,甲辰 丙寅 戊午 庚申,45,中和,火,火、土,木、金、水,杀印相生格·破格,枭夺食,潜在,月柱丙（枭）克 时柱庚（食）,偏印元素克食神元素（全 pair 枚举 1 对）,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,v2：全 pair 枚举；severity=任一 pair 贴身→存在，否则潜在（不查合绊，沿用 A1）,月柱丙枭:exposedRooted；时柱庚食:exposedRooted
22基线,A1,甲辰 丙寅 戊午 庚申,45,中和,火,火、土,木、金、水,杀印相生格·破格,关键用神/格局节点受冲,存在,月柱寅（格局核心杀之根） ↔ 时柱申,六冲寅申命中月柱寅（格局核心杀之根），位距2、涉月令,无,若时柱申（庚金·食神）得运助增，对月柱寅（格局核心杀之根）的冲击可能加重，相关格局节点根基可能动摇。,v2：节点清单=印星之根+用神节点+透干七杀坐支之根（无条件）∪格局核心十神之根（条件）；已删日主之禄,月柱month（甲木·七杀）:exposedRooted；时柱hour（庚金·食神）:exposedRooted
22基线,A2,甲子 丁卯 己未 癸酉,40,中和,火,火、土,木、金、水,杀印相生格·破格,财破印,潜在,时柱癸（财）克 月柱丁（印）,财干元素克印干（全 pair 枚举 1 对）,无,若财星癸进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,v2：全 pair 枚举；severity=任一 pair 贴身∧财无强合绊→存在，否则潜在,时柱癸财:exposedRooted；月柱丁印:exposedUnrooted
