序号,八字,排盘校验,旺衰分,等级,格局,状态,从格,喜神,用神,忌神,方法,调候备注
1,甲寅 丙寅 甲寅 甲子,合格,100,极强,建禄格,破格,,金、火、土,金,水、木,格局救应,
2,庚申 戊子 丙子 壬辰,合格,1,极弱,假从势格,成格,假从势格,水、金、土,水,木、火,从格顺势,
3,戊午 丁巳 丙午 甲午,合格,100,极强,建禄格,破格,,水、土、金,水,木、火,扶抑为主·调候辅助,巳午月火炎土燥，需水调候润局。水为调候第一要义。
4,壬子 癸亥 戊子 壬子,排盘校验失败：月柱不合五虎遁/五鼠遁，此盘不存在,1,极弱,从财格,成格,从财格,水、金、木,水,火、土,从格顺势,
5,己酉 辛酉 庚申 戊申,排盘校验失败：月柱、时柱不合五虎遁/五鼠遁，此盘不存在,100,极强,建禄格,破格,,火、水、木,火,土、金,扶抑为主·调候辅助,秋金当令，金气过旺，需火锻炼方能成器。"金无火炼，顽金不器。"
6,甲辰 丙寅 戊午 丁巳,合格,62,偏强,杀印相生格,成格,,木、金、水,木,火、土,扶抑为主,
7,癸亥 甲寅 乙卯 壬子,排盘校验失败：时柱不合五虎遁/五鼠遁，此盘不存在,100,极强,建禄格,破格,,金、火、土,金,水、木,格局救应,
8,庚申 壬午 甲午 丙寅,合格,24,极弱,伤官配印格,破格,,水、木,水,金、火、土,格局救应,
9,甲子 丁卯 己未 丙午,排盘校验失败：时柱不合五虎遁/五鼠遁，此盘不存在,56,中和,杀印相生格,成格,,木、金、水,木,火、土,扶抑为主,
10,辛酉 癸巳 壬子 庚子,合格,75,偏强,偏财格,破格,,土、木、火,土,金、水,格局救应,
