set,id,gz,score,level,yong,xi,ji,pattern,riskType,severity,parties,why,mitigations,triggerHint,evidence
22基线,#3,戊午 丁巳 丙午 甲午,100,极强,水,水、土、金,木、火,建禄格·破格,枭夺食,潜在,时柱甲（枭）克 年柱戊（食）,偏印元素克食神元素，位距3,无,若偏印甲进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
22基线,#5,己酉 癸酉 庚申 甲申,100,极强,火,火、水、木,土、金,羊刃格·破格,财破印,潜在,时柱甲（财）克 年柱己（印）,财干元素克印干，位距3,财星甲被合绊,若财星甲进一步增强而印星己根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
22基线,#8,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,枭夺食,潜在,月柱壬（枭）克 时柱丙（食）,偏印元素克食神元素，位距2,无,若偏印壬进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
22基线,#8,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,关键用神/格局节点受冲,潜在,年柱申（七杀之根） ↔ 时柱寅（日主之禄）,六冲申寅命中年柱申（七杀之根）；时柱寅（日主之禄），位距3,无,若冲方（金/木）任一进一步增强，对七杀之根日主之禄的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木,,杀印相生格·成格,伤官见官,潜在,时柱庚伤官 ↔ 年柱甲正官,天干同透伤官与正官，位距3,正官甲被己合绊；伤官与正官远隔（不直接对贴）,若伤官庚（金）得根行旺或正官甲失其制化，伤官见官之势可能显化；当前正官甲被己合绊、位距3（远隔），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木,,杀印相生格·成格,关键用神/格局节点受冲,潜在,年柱子 ↔ 时柱午（日主之禄；印星之根）,六冲子午命中；时柱午（日主之禄；印星之根），位距3,无,若冲方（水/火）任一进一步增强，对日主之禄、印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,#9,甲子 丁卯 己未 庚午,51,中和,木,木,,杀印相生格·成格,财印冲,潜在,年柱子（癸水） ↔ 时柱午（丁火）,冲对主气一财一印，位距3,无,若财方水进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,原型规则：六冲对主气一财一印
22基线,A1,甲辰 丙寅 戊午 庚申,45,中和,火,火、土,木、金,杀印相生格·破格,枭夺食,潜在,月柱丙（枭）克 时柱庚（食）,偏印元素克食神元素，位距2,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
22基线,A1,甲辰 丙寅 戊午 庚申,45,中和,火,火、土,木、金,杀印相生格·破格,关键用神/格局节点受冲,存在,月柱寅（七杀之根） ↔ 时柱申,六冲寅申命中月柱寅（七杀之根），位距2、涉月令,无,若冲方（木/金）任一进一步增强，对七杀之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,A2,甲子 丁卯 己未 癸酉,40,中和,火,火、土,木、金、水,杀印相生格·破格,财破印,潜在,时柱癸（财）克 月柱丁（印）,财干元素克印干，位距2,无,若财星癸进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
22基线,A2,甲子 丁卯 己未 癸酉,40,中和,火,火、土,木、金、水,杀印相生格·破格,关键用神/格局节点受冲,存在,月柱卯（七杀之根） ↔ 时柱酉,六冲卯酉命中月柱卯（七杀之根），位距2、涉月令,无,若冲方（木/金）任一进一步增强，对七杀之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,A3,丙申 庚寅 戊辰 丁巳,56,中和,水,水、金、木,火、土,食神制杀格·破格,枭夺食,存在,年柱丙（枭）克 月柱庚（食）,偏印元素克食神元素，位距1,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
22基线,A3,丙申 庚寅 戊辰 丁巳,56,中和,水,水、金、木,火、土,食神制杀格·破格,关键用神/格局节点受冲,存在,年柱申 ↔ 月柱寅（七杀之根）,六冲申寅命中；月柱寅（七杀之根），位距1、涉月令,无,若冲方（金/木）任一进一步增强，对七杀之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,A4,辛亥 庚寅 己巳 庚午,22,极弱,火,火、土,木、金、水,正官格·破格,关键用神/格局节点受冲,存在,年柱亥 ↔ 日柱巳（用神同五行；印星之根）,六冲亥巳命中；日柱巳（用神同五行；印星之根），位距2、涉日支,无,若冲方（水/火）任一进一步增强，对用神同五行、印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,A4,辛亥 庚寅 己巳 庚午,22,极弱,火,火、土,木、金、水,正官格·破格,财印冲,存在,年柱亥（壬水） ↔ 日柱巳（丙火）,冲对主气一财一印，位距2、涉日支,无,若财方水进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,原型规则：六冲对主气一财一印
22基线,A5,壬辰 癸卯 戊戌 丁巳,38,偏弱,土,土、火,木、金、水,正官格·破格,财破印,潜在,年柱壬（财）克 时柱丁（印）,财干元素克印干，位距3,财星壬被合绊,若财星壬进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
22基线,A5,壬辰 癸卯 戊戌 丁巳,38,偏弱,土,土、火,木、金、水,正官格·破格,关键用神/格局节点受冲,存在,年柱辰（用神同五行） ↔ 日柱戌（用神同五行）,六冲辰戌命中年柱辰（用神同五行）；日柱戌（用神同五行），位距2、涉日支,无,若冲方（土/土）任一进一步增强，对用神同五行用神同五行的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,A6,癸酉 乙卯 己丑 己巳,34,偏弱,火,火、土,木、金、水,七杀格·破格,杀重无制,潜在,月柱乙,七杀透干一处且无制化（单杀不判重，仅记潜在）,无,若七杀乙再得根增强而无制化，杀势可能加重。,原型规则：单杀无制仅记潜在
22基线,A6,癸酉 乙卯 己丑 己巳,34,偏弱,火,火、土,木、金、水,七杀格·破格,关键用神/格局节点受冲,存在,年柱酉 ↔ 月柱卯（七杀之根）,六冲酉卯命中；月柱卯（七杀之根），位距1、涉月令,无,若冲方（金/木）任一进一步增强，对七杀之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,B1,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,枭夺食,潜在,月柱壬（枭）克 时柱丙（食）,偏印元素克食神元素，位距2,无,若偏印壬进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
22基线,B1,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,关键用神/格局节点受冲,潜在,年柱申（七杀之根） ↔ 时柱寅（日主之禄）,六冲申寅命中年柱申（七杀之根）；时柱寅（日主之禄），位距3,无,若冲方（金/木）任一进一步增强，对七杀之根日主之禄的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,B3,辛酉 丁酉 甲寅 乙丑,34,偏弱,水,水、木,火、金、土,正官格·破格,伤官见官,存在,月柱丁伤官 ↔ 年柱辛正官,天干同透伤官与正官，位距1,无,若伤官丁（火）得根行旺或正官辛失其制化，伤官见官之势可能显化；当前官星无合绊、位距1（贴身），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
22基线,B5,庚子 甲申 乙卯 丙子,42,中和,水,水、木,火、金、土,正官格·破格,伤官见官,潜在,时柱丙伤官 ↔ 年柱庚正官,天干同透伤官与正官，位距3,正官庚被乙合绊；伤官与正官远隔（不直接对贴）,若伤官丙（火）得根行旺或正官庚失其制化，伤官见官之势可能显化；当前正官庚被乙合绊、位距3（远隔），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
22基线,B6,丙申 己亥 丁卯 壬寅,34,偏弱,木,木、火,土、金、水,正官格·成格,关键用神/格局节点受冲,潜在,年柱申 ↔ 时柱寅（用神同五行；印星之根）,六冲申寅命中；时柱寅（用神同五行；印星之根），位距3,无,若冲方（金/木）任一进一步增强，对用神同五行、印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
22基线,B6,丙申 己亥 丁卯 壬寅,34,偏弱,木,木、火,土、金、水,正官格·成格,财印冲,潜在,年柱申（庚金） ↔ 时柱寅（甲木）,冲对主气一财一印，位距3,无,若财方金进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,原型规则：六冲对主气一财一印
六盘锚点,P15-09,丁丑 癸卯 庚申 丙戌,47,中和,土,土,,正财格·破格,伤官见官,存在,月柱癸伤官 ↔ 年柱丁正官,天干同透伤官与正官，位距1,无,若伤官癸（水）得根行旺或正官丁失其制化，伤官见官之势可能显化；当前官星无合绊、位距1（贴身），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
六盘锚点,P15-09,丁丑 癸卯 庚申 丙戌,47,中和,土,土,,正财格·破格,官杀混杂,存在,年柱丁正官；时柱丙七杀,天干同透正官与七杀（透干口径；藏干不透不判混杂）,无,若官杀任一进一步增强而制化不足，官杀混杂的反复/压力感可能加重。,原型规则：透干口径
六盘锚点,P15-12,戊子 甲寅 庚申 丁亥,31,偏弱,土,土、金,木、火、水,偏财格·破格,财破印,存在,月柱甲（财）克 年柱戊（印）,财干元素克印干，位距1,无,若财星甲进一步增强而印星戊根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
六盘锚点,P15-12,戊子 甲寅 庚申 丁亥,31,偏弱,土,土、金,木、火、水,偏财格·破格,关键用神/格局节点受冲,存在,月柱寅 ↔ 日柱申（日主之禄）,六冲寅申命中；日柱申（日主之禄），位距1、涉月令、涉日支,无,若冲方（木/金）任一进一步增强，对日主之禄的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
六盘锚点,P15-14,丙寅 庚寅 戊辰 癸亥,28,极弱,土,土、火,木、水、金,食神制杀格·破格,财破印,潜在,时柱癸（财）克 年柱丙（印）,财干元素克印干，位距3,财星癸被合绊,若财星癸进一步增强而印星丙根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
六盘锚点,P15-14,丙寅 庚寅 戊辰 癸亥,28,极弱,土,土、火,木、水、金,食神制杀格·破格,枭夺食,存在,年柱丙（枭）克 月柱庚（食）,偏印元素克食神元素，位距1,无,若偏印丙进一步增强，枭夺食可能显化，食神所代表的才华/口福/表达可能受抑。,原型规则：天干偏印元素克食神元素
六盘锚点,P15-15,癸未 戊午 乙卯 丙戌,29.75,极弱,木,木、水,金、火、土,食神生财格·破格,财破印,潜在,月柱戊（财）克 年柱癸（印）,财干元素克印干，位距1,财星戊被合绊,若财星戊进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
六盘锚点,P15-16,丁卯 壬寅 壬午 庚子,28,极弱,水,水、金,木、土、火,食神格·破格,财破印,潜在,年柱丁（财）克 时柱庚（印）,财干元素克印干，位距3,财星丁被合绊,若财星丁进一步增强而印星庚根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
六盘锚点,P15-16,丁卯 壬寅 壬午 庚子,28,极弱,水,水、金,木、土、火,食神格·破格,关键用神/格局节点受冲,存在,日柱午 ↔ 时柱子（用神同五行）,六冲午子命中；时柱子（用神同五行），位距1、涉日支,无,若冲方（火/水）任一进一步增强，对用神同五行的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
18专项,H01,癸未 戊午 乙卯 丙戌,29.75,极弱,木,木、水,金、火、土,食神生财格·破格,财破印,潜在,月柱戊（财）克 年柱癸（印）,财干元素克印干，位距1,财星戊被合绊,若财星戊进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
18专项,H02,戊辰 甲寅 丁亥 庚子,64,偏强,水,水、土、金,木、火,正印格·破格,财破印,潜在,时柱庚（财）克 月柱甲（印）,财干元素克印干，位距2,无,若财星庚进一步增强而印星甲根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
18专项,H04,甲申 庚午 辛卯 戊戌,26.5,极弱,金,金、土,木、火、水,七杀格·破格,财破印,潜在,年柱甲（财）克 时柱戊（印）,财干元素克印干，位距3,无,若财星甲进一步增强而印星戊根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
18专项,H05,庚子 乙酉 甲辰 甲子,21.5,极弱,水,水、木,火、土、金,正官格·破格,杀重无制,潜在,年柱庚,七杀透干一处且无制化（单杀不判重，仅记潜在）,无,若七杀庚再得根增强而无制化，杀势可能加重。,原型规则：单杀无制仅记潜在
18专项,H06,乙巳 壬午 丁未 戊申,77,偏强,水,水、土、金,木、火,建禄格·成格,伤官见官,潜在,时柱戊伤官 ↔ 月柱壬正官,天干同透伤官与正官，位距2,正官壬被丁合绊；伤官与正官远隔（不直接对贴）,若伤官戊（土）得根行旺或正官壬失其制化，伤官见官之势可能显化；当前正官壬被丁合绊、位距2（远隔），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
18专项,H08,丁酉 丙午 丁卯 庚戌,94,极强,水,水、土、金,木、火,建禄格·成格,关键用神/格局节点受冲,存在,年柱酉 ↔ 日柱卯（印星之根）,六冲酉卯命中；日柱卯（印星之根），位距2、涉日支,无,若冲方（金/木）任一进一步增强，对印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
18专项,H08,丁酉 丙午 丁卯 庚戌,94,极强,水,水、土、金,木、火,建禄格·成格,财印冲,存在,年柱酉（辛金） ↔ 日柱卯（乙木）,冲对主气一财一印，位距2、涉日支,无,若财方金进一步增强，财印相冲可能加重，印星根基可能进一步受扰。,原型规则：六冲对主气一财一印
18专项,H09,甲寅 壬申 壬辰 己酉,68.5,偏强,木,木、火、土,金、水,偏印格·破格,关键用神/格局节点受冲,存在,年柱寅（用神同五行；用神干甲之禄） ↔ 月柱申（印星之根）,六冲寅申命中年柱寅（用神同五行；用神干甲之禄）；月柱申（印星之根），位距1、涉月令,无,若冲方（木/金）任一进一步增强，对用神同五行、用神干甲之禄印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
18专项,H11,壬辰 癸卯 戊戌 丁巳,38,偏弱,土,土、火,木、金、水,正官格·破格,财破印,潜在,年柱壬（财）克 时柱丁（印）,财干元素克印干，位距3,财星壬被合绊,若财星壬进一步增强而印星丁根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
18专项,H11,壬辰 癸卯 戊戌 丁巳,38,偏弱,土,土、火,木、金、水,正官格·破格,关键用神/格局节点受冲,存在,年柱辰（用神同五行） ↔ 日柱戌（用神同五行）,六冲辰戌命中年柱辰（用神同五行）；日柱戌（用神同五行），位距2、涉日支,无,若冲方（土/土）任一进一步增强，对用神同五行用神同五行的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
18专项,H13,壬寅 丙午 丙戌 辛卯,100,极强,水,水、土、金,木、火,羊刃格·成格,杀重无制,潜在,年柱壬,七杀透干一处且无制化（单杀不判重，仅记潜在）,无,若七杀壬再得根增强而无制化，杀势可能加重。,原型规则：单杀无制仅记潜在
18专项,H14,乙丑 己丑 壬子 辛丑,18.5,极弱,金,金、水,木、土、火,正官格·破格,伤官见官,存在,年柱乙伤官 ↔ 月柱己正官,天干同透伤官与正官，位距1,无,若伤官乙（木）得根行旺或正官己失其制化，伤官见官之势可能显化；当前官星无合绊、位距1（贴身），属潜在而非必发。,原型规则：天干同透伤官+正官；制化检查=五合绊/财印通关/位距
18专项,H16,丙辰 庚子 癸巳 庚申,98.5,极强,火,火、木、土,金、水,建禄格·成格,财破印,存在,年柱丙（财）克 月柱庚（印）,财干元素克印干，位距1,无,若财星丙进一步增强而印星庚根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
18专项,H18,癸卯 己未 甲午 壬申,31,偏弱,木,木、水,火、土、金,正财格·成格,财破印,潜在,月柱己（财）克 年柱癸（印）,财干元素克印干，位距1,财星己被合绊,若财星己进一步增强而印星癸根基不稳，财破印可能加重，印所代表的学业/庇护/格局转化力可能受损。,原型规则：天干财元素克印元素
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,金、水、木,正财格·破格,关键用神/格局节点受冲,存在,年柱子 ↔ 日柱午（印星之根）,六冲子午命中；日柱午（印星之根），位距2、涉日支,无,若冲方（水/火）任一进一步增强，对印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,金、水、木,正财格·破格,关键用神/格局节点受冲,潜在,年柱子 ↔ 时柱午（印星之根）,六冲子午命中；时柱午（印星之根），位距3,无,若冲方（水/火）任一进一步增强，对印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,金、水、木,正财格·破格,关键用神/格局节点受冲,存在,月柱子 ↔ 日柱午（印星之根）,六冲子午命中；日柱午（印星之根），位距1、涉月令、涉日支,无,若冲方（水/火）任一进一步增强，对印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
合成观察,SY1,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,金、水、木,正财格·破格,关键用神/格局节点受冲,存在,月柱子 ↔ 时柱午（印星之根）,六冲子午命中；时柱午（印星之根），位距2、涉月令,无,若冲方（水/火）任一进一步增强，对印星之根的冲击可能加重，相关格局节点根基可能动摇。,原型规则：冲对命中用神节点（同五行/用神干之禄/日主禄）或印杀之根
