编号,四柱,来源,BASE分,BASE旺衰,BASE用神,BASE喜,BASE忌,BASEadj,FORMAL分,FORMAL旺衰,FORMAL用神,FORMAL喜,FORMAL忌,FORMALadj,PREVIEW一致,与已测MA分差,与已测MAadj差,差异来源
"H01,P15-15","癸未 戊午 乙卯 丙戌","专项,锚点","19","极弱","木","木、水","金、火、土","-19","27.75","极弱","木","木、水","金、火、土","-11.25","一致","1","","§⑧午未表"
"H02","戊辰 甲寅 丁亥 庚子","专项","71","偏强","水","水、土、金","木、火","18","64","偏强","水","水、土、金","木、火","11","一致","","",""
"H03","甲寅 戊辰 壬子 辛丑","专项","23","极弱","金","金、水","木、土、火","-22","31.5","偏弱","金","金、水","木、土、火","-13.5","一致","","",""
"H04","甲申 庚午 辛卯 戊戌","专项","26","极弱","金","金、土","木、火、水","-4","26.5","极弱","金","金、土","木、火、水","-3.5","一致","-3","-3","趋化语义"
"H05","庚子 乙酉 甲辰 甲子","专项","21","极弱","水","水、木","火、土、金","-4","21.5","极弱","水","水、木","火、土、金","-3.5","一致","-3","-3","趋化语义"
"H06","乙巳 壬午 丁未 戊申","专项","98","极强","水","水、土、金","木、火","19","77","偏强","水","水、土、金","木、火","0","一致","-2","","§⑧午未表"
"H07","己丑 丙寅 丁亥 甲辰","专项","86","极强","土","土、金、水","木、火","18","79","偏强","土","土、金、水","木、火","11","一致","","",""
"H08","丁酉 丙午 丁卯 庚戌","专项","94","极强","水","水、土、金","木、火","4","94","极强","水","水、土、金","木、火","4","一致","4","4","趋化语义"
"H09","甲寅 壬申 壬辰 己酉","专项","80","极强","木","木、火、土","金、水","18","68.5","偏强","木","木、火、土","金、水","6.5","一致","-5","-5","趋化语义"
"H10","癸未 丁巳 丙戌 辛卯","专项","100","极强","水","水、土、金","木、火","19","95.5","极强","水","水、土、金","木、火","12.5","一致","","",""
"H11,A5","壬辰 癸卯 戊戌 丁巳","专项,基线","47","中和","土","土","","0","48","中和","土","土","","1","一致","6","6","趋化语义"
"H12","甲申 丁丑 壬辰 己酉","专项","22","极弱","金","金、水","木、火、土","0","28.5","极弱","金","金、水","木、火、土","6.5","一致","-5","-5","趋化语义"
"H13","壬寅 丙午 丙戌 辛卯","专项","100","极强","水","水、土、金","木、火","19","100","极强","水","水、土、金","木、火","12.5","一致","","",""
"H14","乙丑 己丑 壬子 辛丑","专项","10","极弱","金","金、水","木、土、火","-22","18.5","极弱","金","金、水","木、土、火","-13.5","一致","","",""
"H15","甲寅 庚午 庚辰 乙酉","专项","36","偏弱","金","金、土","木、火、水","0","36","偏弱","金","金、土","木、火、水","0","一致","","",""
"H16","丙辰 庚子 癸巳 庚申","专项","100","极强","火","火、木、土","金、水","18","98.5","极强","火","火、木、土","金、水","7.5","一致","-1.5","-3","趋化语义"
"H17","甲子 丙子 癸亥 甲寅","专项","97","极强","土","土、火、木","金、水","0","90.5","极强","土","土、火、木","金、水","-6.5","一致","6","6","趋化语义"
"H18","癸卯 己未 甲午 壬申","专项","29","极弱","木","木、水","火、土、金","0","27","极弱","木","木、水","火、土、金","-1","一致","-1","","§⑧午未表"
"#1","甲寅 丙寅 甲寅 甲子","基线","100","极强","金","金、火、土","木、水","0","100","极强","金","金、火、土","木、水","0","一致","","",""
"#2","庚申 戊子 丙子 壬辰","基线","1","极弱","水","水、金、土","木、火","0","1","极弱","水","水、金、土","木、火","0","一致","","",""
"#3","戊午 丁巳 丙午 甲午","基线","100","极强","水","水、土、金","木、火","0","100","极强","水","水、土、金","木、火","0","一致","","",""
"#4","壬子 辛亥 戊子 壬子","基线","1","极弱","水","水、金、木","火、土","0","1","极弱","水","水、金、木","火、土","0","一致","","",""
