编号,八字,排盘校验,终分,旺衰,格局,从格,用神,喜神,忌神,method,调候备注,primaryReason,用神根气分,用神根气评级,⑧½前分,⑧½后分,因⑧½跨50,引擎提交,备注
"#1","甲寅 丙寅 甲寅 甲子","合格","100","极强","建禄格·破格","否","金","金、火、土","水、木","格局救应","","建禄格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","112","112","否","dbed1e0",""
"#2","庚申 戊子 丙子 壬辰","合格","1","极弱","假从势格·成格","假从势格","水","水、金、土","木、火","从格顺势","","弃命从势，取顺势之五行为用。","5.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","-7","-7","否","dbed1e0",""
"#3","戊午 丁巳 丙午 甲午","合格","100","极强","建禄格·破格","否","水","水、土、金","木、火","扶抑为主·调候辅助","巳午月火炎土燥，需水调候润局。水为调候第一要义。","巳午月火炎土燥，需水调候润局。水为调候第一要义。","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","106","106","否","dbed1e0",""
"#4","壬子 辛亥 戊子 壬子","合格","1","极弱","从财格·成格","从财格","水","水、金、木","火、土","从格顺势","","弃命从财，取顺势之五行为用。","10","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","-38","-38","否","dbed1e0","已按遁法修正（原癸亥月）"
"#5","己酉 癸酉 庚申 甲申","合格","100","极强","羊刃格·破格","否","火","火、水、木","土、金","扶抑为主·调候辅助","秋金当令，金气过旺，需火锻炼方能成器。""金无火炼，顽金不器。""","秋金当令，金气过旺，需火锻炼方能成器。""金无火炼，顽金不器。""","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","103","103","否","dbed1e0","已按遁法修正（原辛酉月+戊申时）"
"#6","甲辰 丙寅 戊午 丁巳","合格","62","偏强","杀印相生格·成格","否","木","木、金、水","火、土","扶抑为主","","日主偏强（62分），以扶抑平衡为主确定用神。","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","45","58","是","dbed1e0",""
"#7","癸亥 甲寅 乙卯 丙子","合格","100","极强","建禄格·破格","否","金","金、火、土","水、木","格局救应","","建禄格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","114","114","否","dbed1e0","已按遁法修正（原壬子时）"
"#8","庚申 壬午 甲午 丙寅","合格","24","极弱","伤官配印格·破格","否","水","水、木","金、火、土","格局救应","","伤官配印格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","21","21","否","dbed1e0",""
"#9","甲子 丁卯 己未 庚午","合格","51","中和","杀印相生格·成格","否","木","木、金、水","火、土","扶抑为主","","日主中和（51分），以扶抑平衡为主确定用神。","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","35","48","否","dbed1e0","已按遁法修正（原丙午时）"
"#10","辛酉 癸巳 壬子 庚子","合格","75","偏强","偏财格·破格","否","土","土、木、火","金、水","格局救应","","偏财格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","73","73","否","dbed1e0",""
"A1","甲辰 丙寅 戊午 庚申","合格","45","中和","杀印相生格·破格","否","火","火、土","木、金、水","格局救应","","杀印相生格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","29","42","否","dbed1e0",""
"A2","甲子 丁卯 己未 癸酉","合格","40","中和","杀印相生格·破格","否","火","火、土","木、金、水","格局救应","","杀印相生格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","24","37","否","dbed1e0",""
"A3","丙申 庚寅 戊辰 丁巳","合格","56","中和","食神制杀格·破格","否","木","木、金、水","火、土","格局救应","","食神制杀格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","42","55","是","dbed1e0",""
"A4","辛亥 庚寅 己巳 庚午","合格","32","偏弱","正官格·破格","否","火","火、土","木、金、水","格局救应","","正官格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","19","32","否","dbed1e0",""
"A5","壬辰 癸卯 戊戌 丁巳","合格","47","中和","正官格·破格","否","火","火、土","木、金、水","格局救应","","正官格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","32","45","否","dbed1e0",""
"A6","癸酉 乙卯 己丑 己巳","合格","34","偏弱","七杀格·破格","否","火","火、土","木、金、水","格局救应","","七杀格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","33","33","否","dbed1e0",""
"B1","庚申 壬午 甲午 丙寅","合格","24","极弱","伤官配印格·破格","否","水","水、木","金、火、土","格局救应","","伤官配印格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","21","21","否","dbed1e0",""
"B2","壬申 丁未 甲辰 乙丑","合格","19","极弱","伤官格·破格","否","水","水、木","金、火、土","格局救应","","伤官格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","18","18","否","dbed1e0",""
"B3","辛酉 丁酉 甲寅 乙丑","合格","34","偏弱","正官格·破格","否","水","水、木","金、火、土","格局救应","","正官格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","32","32","否","dbed1e0",""
"B4","戊辰 戊午 乙亥 戊寅","合格","36","偏弱","食神生财格·成格","否","水","水、木","金、火、土","扶抑为主","","日主偏弱（36分），以扶抑平衡为主确定用神。","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","35","35","否","dbed1e0",""
"B5","庚子 甲申 乙卯 丙子","合格","42","中和","正官格·破格","否","水","水、木","金、火、土","格局救应","","正官格条件不足，先取能扶正旺衰并兼顾格局救应的五行。","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","40","40","否","dbed1e0",""
"B6","丙申 己亥 丁卯 壬寅","合格","34","偏弱","正官格·成格","否","木","木、火","水、土、金","扶抑为主·调候辅助","冬火微弱，需木来生火、火来扶身，双重暖局。""火生冬月，无木不焚；烛微光弱，薪尽则灭。""","冬火微弱，需木来生火、火来扶身，双重暖局。""火生冬月，无木不焚；烛微光弱，薪尽则灭。""","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","34","34","否","dbed1e0",""
