编号,八字,终分,旺衰,格局,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,变化类型,before用神,before喜,before忌,before_method,after用神,after喜,after忌,after_method,tiebreak
"#1","甲寅 丙寅 甲寅 甲子","100","极强","建禄格·破格","木","比劫","是(5)","-50","0","0","0","-50","8","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#1","甲寅 丙寅 甲寅 甲子","100","极强","建禄格·破格","火","食伤","否","50","4","0","0","54","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","喜神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#1","甲寅 丙寅 甲寅 甲子","100","极强","建禄格·破格","土","财","否","50","0","0","0","50","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#1","甲寅 丙寅 甲寅 甲子","100","极强","建禄格·破格","金","官杀","否","50","10","1.6","0","61.6","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#1","甲寅 丙寅 甲寅 甲子","100","极强","建禄格·破格","水","印","否","-50","0","0","0","-50","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","金","金、火、土","水、木","格局救应","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）"
"#3","戊午 丁巳 丙午 甲午","100","极强","建禄格·破格","木","印","否","-50","0","0","0","-50","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","不变","水","水、土、金","木、火","扶抑为主·调候辅助","水","水、土、金","木、火","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#3","戊午 丁巳 丙午 甲午","100","极强","建禄格·破格","火","比劫","是(5)","-50","0","0","0","-50","9","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","不变","水","水、土、金","木、火","扶抑为主·调候辅助","水","水、土、金","木、火","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#3","戊午 丁巳 丙午 甲午","100","极强","建禄格·破格","土","食伤","否","50","4","0","0","54","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","不变","水","水、土、金","木、火","扶抑为主·调候辅助","水","水、土、金","木、火","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#3","戊午 丁巳 丙午 甲午","100","极强","建禄格·破格","金","财","否","50","0","0","0","50","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","不变","水","水、土、金","木、火","扶抑为主·调候辅助","水","水、土、金","木、火","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#3","戊午 丁巳 丙午 甲午","100","极强","建禄格·破格","水","官杀","否","50","10","1.6","8","69.6","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","不变","水","水、土、金","木、火","扶抑为主·调候辅助","水","水、土、金","木、火","扶抑为主·调候辅助","无需决胜（唯一最高分）"
