set,id,gz,dg,mz,mwx,dead,csl,cslPos,yinPath,yGanYin,yinRootPos,yinDeSheng,strong,heDesc,chongDesc,shaCount,shaTou,dgRootPos,oldBonus,m1Tier,m1Bonus,m2Tier,m2Bonus,m3Tier,m3Bonus,before,afterBASE,afterM1,afterM2,afterM3,crossBASE,crossM1,crossM2,crossM3,sBase,sM1,sM2,sM3,lBase,lM1,lM2,lM3,yBase,yM1,yM2,yM3,xiBase,xiM1,xiM2,xiM3,jiBase,jiM1,jiM2,jiM3,pBase,pM1,pM2,pM3,cong,short,flags
"22基线","#1","甲寅 丙寅 甲寅 甲子","甲","寅","木","false","true","寅(禄)，寅(禄)，寅(禄)","","false","","false","false","","","0","","寅(本气)，寅(本气)，寅(本气)","0","D","0","D","0","D","0","112","112","112","112","112","","","","","100","100","100","100","极强","极强","极强","极强","金","金","金","金","金、火、土","金、火、土","金、火、土","金、火、土","木、水","木、水","木、水","木、水","建禄格·破格","建禄格·破格","建禄格·破格","建禄格·破格","否","false",""
"22基线","#2","庚申 戊子 丙子 壬辰","丙","子","水","true","false","","","false","辰(乙)","true","false","","","3","壬(hour)","","0","D","0","D","0","D","0","-7","-7","-7","-7","-7","","","","","1","1","1","1","极弱","极弱","极弱","极弱","水","水","水","水","水、金、土","水、金、土","水、金、土","水、金、土","木、火","木、火","木、火","木、火","假从势格·成格","假从势格·成格","假从势格·成格","假从势格·成格","假从势格","false",""
"22基线","#3","戊午 丁巳 丙午 甲午","丙","巳","火","false","true","巳(禄)","","false","","false","false","","","0","","午(本气)，巳(本气)，午(本气)，午(本气)","0","D","0","D","0","D","0","106","106","106","106","106","","","","","100","100","100","100","极强","极强","极强","极强","水","水","水","水","水、土、金","水、土、金","水、土、金","水、土、金","木、火","木、火","木、火","木、火","建禄格·破格","建禄格·破格","建禄格·破格","建禄格·破格","否","false",""
"22基线","#4","壬子 辛亥 戊子 壬子","戊","亥","水","false","false","","","false","","false","false","","","0","","","0","D","0","D","0","D","0","-18","-18","-18","-18","-18","","","","","1","1","1","1","极弱","极弱","极弱","极弱","水","水","水","水","水、金、木","水、金、木","水、金、木","水、金、木","火、土","火、土","火、土","火、土","从财格·成格","从财格·成格","从财格·成格","从财格·成格","从财格","false",""
"22基线","#5","己酉 癸酉 庚申 甲申","庚","酉","金","false","true","申(禄)，申(禄)","","false","","false","false","","","0","","酉(本气)，酉(本气)，申(本气)，申(本气)","0","D","0","D","0","D","0","103","103","103","103","103","","","","","100","100","100","100","极强","极强","极强","极强","火","火","火","火","火、水、木","火、水、木","火、水、木","火、水、木","土、金","土、金","土、金","土、金","羊刃格·破格","羊刃格·破格","羊刃格·破格","羊刃格·破格","否","false",""
"22基线","#6","甲辰 丙寅 戊午 丁巳","戊","寅","木","true","true","寅(长生)，巳(禄)","月干","false","寅(丙)，午(丁)，巳(丙)","true","false","","","2","甲(year)","辰(本气)，寅(藏戊)，午(藏己)，巳(藏戊)","13","A","13","A","13","A","10","45","58","58","58","55","50","50","50","50","62","62","62","59","偏强","偏强","偏强","中和","水","水","水","水","水、金、木","水、金、木","水、金、木","水、金、木","火、土","火、土","火、土","火、土","杀印相生格·成格","杀印相生格·成格","杀印相生格·成格","杀印相生格·成格","否","false","M3翻档"
"22基线","#7","癸亥 甲寅 乙卯 丙子","乙","寅","木","false","true","卯(禄)","","false","","false","false","","","0","","亥(藏甲)，寅(本气)，卯(本气)","0","D","0","D","0","D","0","114","114","114","114","114","","","","","100","100","100","100","极强","极强","极强","极强","金","金","金","金","金、火、土","金、火、土","金、火、土","金、火、土","木、水","木、水","木、水","木、水","建禄格·破格","建禄格·破格","建禄格·破格","建禄格·破格","否","false",""
"22基线","#8","庚申 壬午 甲午 丙寅","甲","午","火","false","true","寅(禄)","","false","","false","false","","","2","庚(year)","寅(本气)","0","D","0","D","0","D","0","25","25","25","25","25","","","","","28","28","28","28","极弱","极弱","极弱","极弱","水","水","水","水","水、木","水、木","水、木","水、木","火、土、金","火、土、金","火、土、金","火、土、金","伤官配印格·破格","伤官配印格·破格","伤官配印格·破格","伤官配印格·破格","否","false",""
"22基线","#9","甲子 丁卯 己未 庚午","己","卯","木","true","true","午(禄)","月干","false","未(丁)，午(丁)","true","false","","","2","甲(year)","未(本气)，午(藏己)","13","A","13","A","13","A","10","35","48","48","48","45","40","40","40","40","51","51","51","48","中和","中和","中和","中和","木","木","木","火","木","木","木","火","","","","","杀印相生格·成格","杀印相生格·成格","杀印相生格·成格","杀印相生格·成格","否","false","M3用神翻转;M3喜忌翻转"
"22基线","#10","辛酉 癸巳 壬子 庚子","壬","巳","火","false","false","","","false","","false","false","","","0","","子(本气)，子(本气)","0","D","0","D","0","D","0","73","73","73","73","73","","","","","75","75","75","75","偏强","偏强","偏强","偏强","火","火","火","火","火、木、土","火、木、土","火、木、土","火、木、土","金、水","金、水","金、水","金、水","偏财格·破格","偏财格·破格","偏财格·破格","偏财格·破格","否","false",""
