标签,八字,排盘校验,终分,旺衰,格局,从格,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,用神,喜神,忌神,method,tiebreak,破格原因,成格条件清单
"P15-01","戊辰 乙卯 甲子 丙寅","合格","92","极强","建禄格·成格","否","木","比劫","是(3)","-42","0","0","0","-42","6","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","金","金、火、土","木、水","扶抑为主","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主极强（92分），可承载格局）；✅财官透出为用（✓）"
"P15-01","戊辰 乙卯 甲子 丙寅","合格","92","极强","建禄格·成格","否","火","食伤","否","42","4","0","0","46","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","金","金、火、土","木、水","扶抑为主","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主极强（92分），可承载格局）；✅财官透出为用（✓）"
"P15-01","戊辰 乙卯 甲子 丙寅","合格","92","极强","建禄格·成格","否","土","财","否","42","0","0","0","42","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","金","金、火、土","木、水","扶抑为主","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主极强（92分），可承载格局）；✅财官透出为用（✓）"
"P15-01","戊辰 乙卯 甲子 丙寅","合格","92","极强","建禄格·成格","否","金","官杀","否","42","10","4","0","56","-1","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","金","金、火、土","木、水","扶抑为主","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主极强（92分），可承载格局）；✅财官透出为用（✓）"
"P15-01","戊辰 乙卯 甲子 丙寅","合格","92","极强","建禄格·成格","否","水","印","否","-42","0","0","0","-42","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","金","金、火、土","木、水","扶抑为主","无需决胜（唯一最高分）","","✅日主有承载格局之力（日主极强（92分），可承载格局）；✅财官透出为用（✓）"
"P15-02","辛未 丙申 壬子 甲辰","合格","83","极强","偏印格·破格","否","木","食伤","否","33","0","0","0","33","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","土","土、木、火","金、水","格局救应","结构需求分(木=0，火=0，土=0→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=1.5，火=2，土=3.5→土)","财星破印","✅日主有承载格局之力（日主极强（83分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-02","辛未 丙申 壬子 甲辰","合格","83","极强","偏印格·破格","否","火","财","否","33","0","0","0","33","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","土","土、木、火","金、水","格局救应","结构需求分(木=0，火=0，土=0→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=1.5，火=2，土=3.5→土)","财星破印","✅日主有承载格局之力（日主极强（83分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-02","辛未 丙申 壬子 甲辰","合格","83","极强","偏印格·破格","否","土","官杀","否","33","0","0","0","33","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","土","土、木、火","金、水","格局救应","结构需求分(木=0，火=0，土=0→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=1.5，火=2，土=3.5→土)","财星破印","✅日主有承载格局之力（日主极强（83分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-02","辛未 丙申 壬子 甲辰","合格","83","极强","偏印格·破格","否","金","印","否","-33","0","0","0","-33","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、木、火","金、水","格局救应","结构需求分(木=0，火=0，土=0→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=1.5，火=2，土=3.5→土)","财星破印","✅日主有承载格局之力（日主极强（83分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-02","辛未 丙申 壬子 甲辰","合格","83","极强","偏印格·破格","否","水","比劫","否","-33","0","6","0","-27","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、木、火","金、水","格局救应","结构需求分(木=0，火=0，土=0→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=1.5，火=2，土=3.5→土)","财星破印","✅日主有承载格局之力（日主极强（83分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
