编号,四柱,化神(经典口径),月支五行,月令状态,支持档,透干位置,透干档,R1冲,R2月令冲,刑(仅记录),害(仅记录),六合事件数,引擎口径adj(旧行为),经典口径adj(反事实),GPT标签,规则预测,是否一致,证据链
"H01","癸未 戊午 乙卯 丙戌","火","火","旺","S1","hour","T2","无","无","year","无","1","-19","-19","真化","真化","一致","S1强(月支午=火===化神火) + T2近透(hour干透火) + 刑year(仅记录) + → 真化"
"H02","戊辰 甲寅 丁亥 庚子","木","木","旺","S1","month","T2","无","无","无","无","1","18","18","真化","真化","一致","S1强(月支寅=木===化神木) + T2近透(month干透木) + → 真化"
"H03","甲寅 戊辰 壬子 辛丑","土","土","旺","S1","month","T2","无","无","无","无","1","-22","-22","真化","真化","一致","S1强(月支辰=土===化神土) + T2近透(month干透土) + → 真化"
"H04","甲申 庚午 辛卯 戊戌","火","火","旺","S1","无","T0","无","无","无","无","1","-4","-4","趋化","趋化","一致","S1强(月支午=火===化神火) + T0无透 + → 趋化"
"H05","庚子 乙酉 甲辰 甲子","金","金","旺","S1","year","T1","无","无","无","无","1","-4","-4","趋化","趋化","一致","S1强(月支酉=金===化神金) + T1远透(仅年干透) + → 趋化"
"H06","乙巳 壬午 丁未 戊申","土","火","相","S2","hour","T2","无","无","无","无","1","19","0","趋化","趋化","一致","S2次级(化神土在午月为相) + T2近透(hour干透土) + → 趋化"
"H07","己丑 丙寅 丁亥 甲辰","木","木","旺","S1","hour","T2","无","无","无","无","1","18","18","真化","真化","一致","S1强(月支寅=木===化神木) + T2近透(hour干透木) + → 真化"
"H08","丁酉 丙午 丁卯 庚戌","火","火","旺","S1","year+month","T2","year","无","无","year","1","4","4","趋化","趋化","一致","S1强(月支午=火===化神火) + T2近透(year+month干透火) + R1冲(year) + 害year(仅记录) + → 趋化"
"H09","甲寅 壬申 壬辰 己酉","金","金","旺","S1","无","T0","无","year","无","无","1","18","18","趋化","趋化","一致","S1强(月支申=金===化神金) + T0无透 + R2月令冲(year) + → 趋化"
"H10","癸未 丁巳 丙戌 辛卯","火","火","旺","S1","month","T2","无","无","year","无","1","19","19","真化","真化","一致","S1强(月支巳=火===化神火) + T2近透(month干透火) + 刑year(仅记录) + → 真化"
"H11","壬辰 癸卯 戊戌 丁巳","火","木","相","S2","hour","T2","year","无","无","year","1","0","0","趋化","趋化","一致","S2次级(化神火在卯月为相) + T2近透(hour干透火) + R1冲(year) + 害year(仅记录) + → 趋化"
"H12","甲申 丁丑 壬辰 己酉","金","土","相","S2","无","T0","无","无","无","无","1","0","0","趋化","趋化","一致","S2次级(化神金在丑月为相) + T0无透 + → 趋化"
"H13","壬寅 丙午 丙戌 辛卯","火","火","旺","S1","month","T2","无","无","无","无","1","19","19","真化","真化","一致","S1强(月支午=火===化神火) + T2近透(month干透火) + → 真化"
"H14","乙丑 己丑 壬子 辛丑","土","土","旺","S1","month","T2","无","无","无","无","3","-22","-22","真化","真化","一致","S1强(月支丑=土===化神土) + T2近透(month干透土) + 多合×3(仅增强证据,状态转换一次) + → 真化"
"H15","甲寅 庚午 庚辰 乙酉","金","火","死","S0","month","T2","无","无","无","无","1","0","0","合而不化","合而不化","一致","S0无(化神金在午月死) + T2近透(month干透金) + → 合而不化"
"H16","丙辰 庚子 癸巳 庚申","水","水","旺","S1","无","T0","无","无","day+hour","无","1","18","18","趋化","趋化","一致","S1强(月支子=水===化神水) + T0无透 + 刑day+hour(仅记录) + → 趋化"
"H17","甲子 丙子 癸亥 甲寅","木","水","相","S2","year+hour","T2","无","无","无","无","1","0","0","趋化","趋化","一致","S2次级(化神木在子月为相) + T2近透(year+hour干透木) + → 趋化"
"H18","癸卯 己未 甲午 壬申","土","土","旺","S1","month","T2","无","无","无","无","1","0","1","真化","真化","一致","S1强(月支未=土===化神土) + T2近透(month干透土) + → 真化"
