case_id,field,independent,engine,match,classification,evidence,impact,suggested_action
"R05-C01","strength","身强","偏强","1","-","巳禄戌根午印与食伤子财并存","方向一致","无"
"R05-C01","yong","水","木","0","流派口径差异","独立先取水润燥承食伤，网站按建禄优先补无根木官杀","核心取用不同","继续复核建禄食伤藏财门槛"
"R05-C01","xi","金，木条件性可用","木水金","0","流派口径差异","网站集合包含核心用神木及水金","集合语义不同","展示主次"
"R05-C01","ji","火土","火土","1","-","集合一致","无","无"
"R05-C01","pattern_name","建禄格用食伤生财","建禄格","1","-","巳为戊禄，主体格名一致","无","无"
"R05-C01","pattern_status","财根被冲、结构受损","破格","1","-","双方均认为结构层次受损","无","无"
"R05-C02","strength","极强","极强","1","-","子禄亥根与辛庚印生水","无","无"
"R05-C02","yong","火","土","0","流派口径差异","独立先取火暖水耗身，网站先取藏支官杀制身","核心用神先后不同","保留调候与制化主次"
"R05-C02","xi","木，土条件性可用","土火木","0","流派口径差异","网站集合包含核心用神土及火木","集合语义不同","区分核心与辅助"
"R05-C02","ji","金水","金水","1","-","集合一致","无","无"
"R05-C02","pattern_name","建禄格用伤官","建禄格","1","-","子为癸禄，主体格名一致","无","无"
"R05-C02","pattern_status","伤官有根但印旺，结构可用边界","破格","0","流派口径差异","网站要求财官透干，独立接受伤官泄秀并待火承接","成格门槛不同","继续增加有火承接对照"
"R05-C03","strength","极强","极强","1","-","双寅禄根、双壬与子印","无","无"
"R05-C03","yong","火","土","0","流派口径差异","独立取丙火泄秀，网站取戌寅藏财耗身","核心取用先后不同","复核有形食神与藏财谁先"
"R05-C03","xi","土，金条件性可用","土火金","0","流派口径差异","网站集合包含核心用神土及火金","集合语义不同","展示主次"
"R05-C03","ji","木水","木水","1","-","集合一致","无","无"
"R05-C03","pattern_name","建禄格食神生财","建禄格","1","-","寅为甲禄，主体格名一致","无","无"
"R05-C03","pattern_status","食神透、财藏支，结构可用","破格","0","流派口径差异","网站仍把财官未透作为破格，独立接受食神生财路径","成格门槛不同","暂不改业务规则"
"R05-C04","strength","身强至极强","极强","1","-","卯禄、壬癸子亥印与丁巳泄秀并存","方向一致","无"
"R05-C04","yong","火","土","0","流派口径差异","独立取丁巳泄秀暖局，网站取巳中藏财耗身","核心取用先后不同","保留巳亥冲证据"
"R05-C04","xi","土，金条件性可用","土火金","0","流派口径差异","网站集合包含核心用神土及火金","集合语义不同","展示主次"
